age,employment_tenure,avg_monthly_income,savings_balance,monthly_spend_ratio,num_past_defaults,late_payments_6m,bureau_score,avg_daily_balance,txn_count_3m,loan_amount,loan_term,purpose,household_size,label
59,3,47731,68954,0.4805633660419821,0,0,594,12341,52,50000,12,education,3,1
48,5,43331,19280,0.2879904290770788,0,0,528,2358,44,200000,60,personal,3,1
34,1,33864,32130,0.5467540230522785,0,0,653,44895,55,100000,60,education,5,0
44,2,19799,14776,0.10652370271431065,2,1,711,17432,37,50000,36,education,4,1
54,4,28454,98486,0.40011872189333797,2,1,548,42386,45,200000,24,home,4,0
52,8,28269,66957,0.20968991244659366,0,0,667,34408,39,50000,60,car,2,1
48,7,36163,83996,0.17231169328729226,0,0,588,89826,45,50000,60,education,4,1
32,4,39721,0,0.18188557148772885,0,0,678,0,41,1000000,60,business,3,0
37,2,60760,106208,0.5961220793414536,0,0,616,13087,50,200000,60,education,1,1
60,0,34176,14579,0.17271559946811482,0,0,630,19770,61,100000,36,car,3,1
40,5,45196,22799,0.2773052475442102,0,0,700,2441,42,200000,60,personal,1,1
28,4,46367,87621,0.13501893000644466,0,1,666,106261,50,100000,12,business,5,1
68,1,47237,41061,0.38603566828649477,2,1,694,26243,58,50000,12,home,2,1
43,1,40873,4281,0.26629307904032523,0,0,680,5624,62,100000,12,business,1,1
28,7,49770,37389,0.3616537599640233,0,0,598,18737,52,50000,24,car,4,1
64,3,39285,70747,0.17574564048596905,0,0,643,50013,55,50000,24,education,4,1
21,3,35232,62710,0.11967596091488472,0,0,705,59976,48,100000,12,education,5,1
46,10,50486,73995,0.436085148689363,1,1,841,78253,52,500000,60,car,4,1
44,7,67134,59079,0.15031260670386318,0,0,676,23656,47,200000,36,education,2,1
46,3,21426,17013,0.5530536243347565,0,0,653,11787,51,200000,60,home,1,1
59,8,43434,0,0.41768383901828415,0,0,697,0,46,50000,12,education,3,1
34,3,36996,130988,0.14559443119942683,0,0,758,190733,54,500000,24,personal,2,1
29,6,53088,96174,0.2550693412343596,0,0,637,131652,40,50000,60,home,4,1
33,7,31903,0,0.1481859034390769,0,1,633,0,62,200000,12,home,1,1
69,3,67899,98016,0.3209643011958775,0,0,601,58289,52,1000000,60,car,1,0
33,0,26523,69676,0.05,0,0,720,103272,41,100000,24,car,3,1
69,4,58567,0,0.1608726513640517,3,0,668,0,44,50000,36,personal,5,1
60,4,16988,101107,0.39783795276155853,0,1,711,67223,41,200000,12,home,3,1
59,8,13618,2669,0.5854796411101274,0,2,649,1231,50,200000,60,car,3,1
67,1,47315,79894,0.31675900374703353,0,0,680,39150,42,50000,12,business,2,1
46,1,47718,98185,0.46713495405401434,0,0,792,60528,49,50000,60,car,3,1
67,6,49765,3209,0.08887818951926768,0,0,684,2725,44,100000,24,car,1,1
67,4,46023,115877,0.29712405752073423,1,0,649,65179,63,50000,24,business,3,1
